#         t          x          y          z         vx         vy         vz
      3.900    -42.832     19.107     -9.073    -62.566    234.733    123.034
      4.000    -45.549     39.891      3.321      8.216    180.941    124.846
      4.100    -42.549     55.296     15.084     51.795    127.155    110.406
      4.200    -36.011     65.523     25.136     78.966     77.398     90.636
      4.300    -27.294     70.954     33.065     95.367     31.205     67.952
      4.400    -17.339     71.895     38.615    103.729    -12.379     43.044
      4.500     -6.881     68.556     41.562    105.429    -54.389     15.891
      4.600      3.431     61.018     41.637    100.818    -96.377    -14.383
      4.700     12.880     49.172     38.412     88.168   -140.540    -50.128
      4.800     20.338     32.687     31.096     60.983   -189.167    -96.185
      4.900     23.274     11.185     18.147     -2.254   -240.869   -162.808
      5.000     14.260    -12.642     -2.612   -178.043   -235.670   -252.354
      5.100     -4.906    -29.323    -23.081   -205.265    -97.952   -157.038
      5.200    -23.617    -35.655    -35.440   -168.967    -28.694    -90.134
      5.300    -38.412    -36.438    -42.037   -126.921     13.038    -41.820
      5.400    -48.950    -33.712    -44.283    -83.833     41.475     -3.085
      5.500    -55.105    -28.565    -42.941    -39.282     61.475     29.927
      5.600    -56.719    -21.724    -38.490      7.004     75.345     59.078
      5.700    -53.493    -13.666    -31.164     57.524     85.810     87.450
      5.800    -44.566     -4.736    -20.859    121.022     92.797    118.656
      5.900    -27.468      4.322     -7.074    220.929     88.355    157.034
      6.000      8.727      6.899      7.881    502.981    -36.807    142.064
      6.100     52.850      2.397     19.212    379.473    -53.245     84.563
      6.200     87.798     -2.872     26.694    319.478    -52.133     65.073
      6.300    117.847     -7.962     32.661    281.504    -49.659     54.270
      6.400    144.631    -12.805     37.728    254.187    -47.196     47.076
      6.500    168.993    -17.411     42.172    233.041    -44.943     41.795
      6.600    191.438    -21.804     46.146    215.875    -42.910     37.678
      6.700    212.306    -26.003     49.746    201.469    -41.071     34.332
      6.800    231.833    -30.026     53.039    189.076    -39.396     31.530
      6.900    250.197    -33.889     56.072    178.212    -37.859     29.129
      7.000    267.535    -37.604     58.880    168.541    -36.439     27.034
      7.100    283.953    -41.182     61.491    159.828    -35.119     25.180
      7.200    299.540    -44.632     63.926    151.896    -33.885     23.519
      7.300    314.365    -47.963     66.203    144.613    -32.724     22.017
      7.400    328.489    -51.180     68.336    137.876    -31.627     20.645
      7.500    341.963    -54.291     70.338    131.605    -30.587     19.385
      7.600    354.830    -57.300     72.218    125.735    -29.596     18.218
      7.700    367.128    -60.212     73.985    120.213    -28.648     17.133
      7.800    378.888    -63.032     75.648    114.995    -27.740     16.118
      7.900    390.140    -65.762     77.212    110.046    -26.867     15.165
      8.000    400.909    -68.407     78.684    105.334    -26.026     14.267
      8.100    411.218    -70.969     80.068    100.835    -25.212     13.417
      8.200    421.086    -73.450     81.369     96.525    -24.424     12.609
      8.300    430.531    -75.854     82.592     92.386    -23.659     11.841
      8.400    439.571    -78.183     83.739     88.401    -22.915     11.107
      8.500    448.218    -80.438     84.815     84.556    -22.190     10.404
      8.600    456.488    -82.622     85.821     80.837    -21.482      9.730
      8.700    464.392    -84.736     86.762     77.234    -20.790      9.082
      8.800    471.940    -86.781     87.639     73.737    -20.112      8.458
      8.900    479.144    -88.759     88.455     70.336    -19.447      7.856
      9.000    486.012    -90.671     89.211     67.023    -18.794      7.273
      9.100    492.552    -92.518     89.910     63.791    -18.152      6.710
      9.200    498.774    -94.302     90.554     60.634    -17.520      6.163
      9.300    504.683    -96.023     91.144     57.546    -16.896      5.632
      9.400    510.286    -97.681     91.681     54.520    -16.280      5.116
      9.500    515.590    -99.279     92.167     51.553    -15.671      4.614
      9.600    520.599   -100.816     92.604     48.639    -15.068      4.125
      9.700    525.320   -102.293     92.993     45.774    -14.471      3.648
      9.800    529.756   -103.710     93.335     42.955    -13.878      3.182
      9.900    533.913   -105.068     93.630     40.177    -13.289      2.728
     10.000    537.794   -106.368     93.881     37.438    -12.703      2.283
     10.100    541.402   -107.609     94.087     34.734    -12.120      1.849
